2026-03-03 18:49:22 INFO  BaseTest:30 - ExtentReports initialized
2026-03-03 18:49:26 INFO  BaseTest:36 - WebDriver initialized
2026-03-03 18:50:22 INFO  BaseTest:42 - WebDriver quit
2026-03-03 18:50:23 INFO  BaseTest:36 - WebDriver initialized
2026-03-03 18:51:01 INFO  BaseTest:42 - WebDriver quit
2026-03-03 18:51:02 INFO  BaseTest:36 - WebDriver initialized
2026-03-03 18:51:57 INFO  BaseTest:42 - WebDriver quit
2026-03-03 18:51:58 INFO  BaseTest:36 - WebDriver initialized
2026-03-03 18:52:54 INFO  BaseTest:42 - WebDriver quit
2026-03-03 18:52:55 INFO  BaseTest:36 - WebDriver initialized
2026-03-03 18:53:32 INFO  BaseTest:42 - WebDriver quit
2026-03-03 18:53:33 INFO  BaseTest:36 - WebDriver initialized
2026-03-03 18:54:25 INFO  BaseTest:42 - WebDriver quit
2026-03-03 18:54:26 INFO  BaseTest:36 - WebDriver initialized
2026-03-03 18:55:23 INFO  BaseTest:42 - WebDriver quit
2026-03-03 18:55:24 INFO  BaseTest:36 - WebDriver initialized
2026-03-03 18:56:20 INFO  BaseTest:42 - WebDriver quit
2026-03-03 18:56:21 INFO  BaseTest:36 - WebDriver initialized
2026-03-03 18:56:59 INFO  BaseTest:42 - WebDriver quit
2026-03-03 18:57:00 INFO  BaseTest:36 - WebDriver initialized
2026-03-03 18:57:31 INFO  BaseTest:42 - WebDriver quit
2026-03-03 18:57:31 INFO  BaseTest:49 - ExtentReports flushed
